100784444-01	作者序言 

106022164-140	平均纯度应为二十五％,

106022164-141	然而实际上却只有二％, 

106022164-142	因为中间商和一些毒贩会掺杂一些苯佐卡因,

106022164-143	导致纯度下降.

106022164-144	二零零九年,对缴获的摇头丸的一项分析显示,

106022164-145	其中约有一半的摇头丸里并没有迷幻成分,

106022164-146	而是一些咖啡因.

106022164-147	如果在不知情的情况下吃下这些药物,可能会产生致命后果.

106022164-148	例如二零零九年十月,苏格兰的四十七位吸食者因服用一种纯度不足的海洛因而感染炭疽病,

106022164-149	事件导致十四人死亡.

106022164-150	暗网市场却提供了一个极为先进且为人熟知的解决办法,

106022164-151	评价机制能让买家以更加安全,系统且可靠的方式知晓产品的品质高低——

106022164-152	相信已购买家的评价反馈.

106022164-153	当然,

106022164-154	暗网市场的毒品价格也是五花八门,

106022164-155	不过在某些情况下,还是很有竞争力的:

106022164-156	例如二零一三年十月,

106022164-157	"丝路"的可卡因平均价格为每克九十二点二零美元,

106022164-158	当时的全球市场行情为每克一百七十四点二零美元,

106022164-159	价格差距高达四十七％.

106022164-160	然而不同的产品价格不一,

106022164-161	在这里大麻的平均价格为每克十二点一零美元,

106022164-162	而全球平均价位在每克九点五零美元左右;

106022164-163	此外,

106022164-164	暗网市场中海洛因的价格格外高,

106022164-165	约为美国市价的两倍以上.

106022164-166	但据药物变革政策基金会的史蒂夫·罗尔斯所说,

106022164-167	如果产品质量能够有所保证,

106022164-168	吸毒者愿意支付更为高昂的费用.

106022164-169	购买流程

106022164-170	平台有了,卖家也选好了,

106022164-171	但我还没有决定要买哪个商品.

106022164-172	于是,我登录了"丝路二点零"的内部邮件系统想寻求点建议.

106022164-174	我:

106022164-175	我是新来的,请问能不能先买一点点大麻?

106022164-176	十二小时后,我得到了这样的回复:

106022164-177	卖家:

106022164-178	亲,你好!

106022164-179	我建议一开始最好少量购买,

106022164-180	如果亲只买一克也是没有任何问题的!

106022164-181	如果是我的话也会这么做,

106022164-182	期待能与您合作愉快,

106022164-183	祝好!

106022164-184	服务态度满分!我听取了他的建议,勾选了最小的剂量——一克大麻,

106022164-185	花费了零点零三比特币,

106022164-186	大约八英镑

106022164-187	(包邮).

106022164-188	点击"加入购物车",下一步就是支付了.

106022164-189	支付货款

106022164-190	市场可以应对所有的问题.

106022164-191	危机的降临即预示着革新的到来.

106022164-192	如今的暗黑市场已变得愈发机智.

106022164-193	而目前这里亟待解决的问题就是,如何确保买家不会上当受骗.

106022164-194	当你在一些信誉良好的店铺里挑选商品时,

106022164-195	尽管你并不熟悉卖家,

106022164-196	也会倾向于在这家店里花钱买东西.

106022164-197	这是因为你十分信赖这类系统的运作模式.

106022164-198	像亚马逊一类的网站已做过各种尝试,

106022164-199	拥有多种机制确保商品质量无忧,

106022164-201	且能灵活处理商品纠纷,也会依据法律条约保护消费者权益及遵守贸易准则.

106022164-202	预付也是早期毒品市场(例如"农民市场"等)所青睐的支付方式.

106022164-203	买家先提交订单,付款,之后要做的就是等快递了.

106022164-204	但在暗黑市场,这种方式实在太不保险.

106022164-205	"丝路"通过"第三方担保"解决了这个问题.

106022164-206	每家暗黑市场都有自己的内部支付系统,

106022164-207	"一代丝路"的做法是,买家在提交订单前先在网站创建一个钱包,再利用个人电脑向网站钱包内转入足够数量的比特币.

106022164-208	一旦确认订单,买家就会从该网站的钱包向第三方钱包中支付相对应的比特币数量,

106022164-209	而第三方钱包是由"丝路"的管理员控制的.

106022164-210	之后卖家会收到钱已入账"第三方担保"的消息,

106022164-211	随即发货.

106022164-212	当买家收到商品时,在网站上点击确认收货,

106022164-213	钱款便会自动打入卖家的"丝路"钱包.

106022164-214	一点开"一代丝路"的主页,就会跳出ƚƦƨ给所有新人的建议信:

106022164-215	一定要用第三方担保系统!!!

106022164-216	一定

106022164-217	一定!!

106022164-218	九十九％的骗子商家都会利用假账号要求买家直接汇款,

106022164-219	或者要求买家在未收到商品的情况下就确认收货

106022164-220	(这类骗局称之为"提前收货").

106022164-221	第三方支付系统(ƵǆƳǅƿǊ)的概念起源于几个世纪之前,

106022164-222	ƵǆƳǅƿǊ这个词来自旧式法语,意为一张纸或是一卷羊皮纸.

106022164-223	ƵƗƱǌ也有选择性的收费制第三方支付系统,

106022164-224	然而这一招在过去的暗黑市场是行不通的,

106022164-225	因为保护消费者的概念在此之前根本就不存在.

106022164-226	不过,第三方担保机制也不是完美无缺的,

106022164-227	因为这一切都必须建立在信任毒品网站能够公正处理比特币的基础之上.

106022164-228	在"丝路"消失后的六个月间,人们意识到网站可能会遭遇管理员监守自盗,黑客侵入及警方没收等种种情况,

106022164-229	而任何一种情况都让人求助无门.

106022164-230	二千零一十四月二月,"丝路二点零"上线之时,之前买卖双方在"丝路"钱包中储存的价值二百五十万美元的比特币全部蒸发,

106022164-231	管理员在论坛中宣布了这一不幸的消息.

106022164-232	除了不断的道歉之外,他还提到:

106022164-233	"‘丝路’绝不会再使用第三方支付系统,

106022164-234	我认为现在没有第三方服务能够确保万无一失."

106022164-235	此外,他还介绍了一种更为先进和安全的支付方式,叫作"多签"契约.

106022164-237	这种支付方式是指,

106022164-238	卖家确认交易后,网站会自动生成一个新的比特币钱包,

106022164-239	卖家确认订单,买家确认收货,平台确认交易.

106022164-240	只有三方中的两方用ƦƝƦ密钥签署确认之后,

106022164-241	货款才会打入卖家的账户.

106022164-242	这样一来,任何一方都不能携款跑路.

106022164-243	"多签"的作用就像是保险柜,

106022164-244	必须由持有密钥的三方合力才能打开.

106022164-245	交易过程若出现任何问题,买家都可以申请退款.

106022164-246	在某些暗网市场中,已经有新人开始采用"多签"契约作为支付方式了,

106022164-247	目前暗网市场的普遍认知为,

106022164-248	如果没有采用多签协议,就不值得信赖.

106022164-249	二零一四年三月,

106022164-250	有位用户在ƨƵƴƴƹǇ论坛发布了一条推文,

106022164-251	对这种情况进行了总结,

106022164-252	标题是

106022164-253	"不.要.在.没.有.多.签.契.约.的.情.况.下.使.用.或.创.建.任.何.网.站.":

106022164-254	来吧各位,

106022164-255	是时候来复盘一下问题了.

106022164-256	还记得"辛普森一家"里有一集霍默一边疼得哇哇叫一边连着五次撞上了同一面墙吗?

106022164-257	如果你注册了没有多签协议的网站,

106022164-258	那你的行为就跟他一模一样……

106022164-259	别去他妈的什么新网站,

106022164-260	讲真,

106022164-261	别去!

106022164-262	别因为以下这点原因就跑去注册:

106022164-263	(一)精美的盗版图片;

106022164-264	(二)自称十分有竞争力;

106022164-265	(三)自称与众不同;

106022164-266	(四)自称仁义慷慨;

106022164-267	(五)名字夺人眼球;

106022164-268	(六)自称是喇嘛转世;

106022164-269	(七)

106022164-270	使用花样营销手段.

106022164-271	只有使用像"多签"协议这种安全手段的网站才值得信赖.

106022164-272	如果你还被骗,

106022164-273	那你就是真蠢了,

106022164-274	骗子会认为像你这样的"肥肉"实在太好赚了.

106022164-275	管理员也同意这个说法.

106022164-276	"多签协议是唯一一个能够提供长期保护的方法.

106022164-277	我们强烈要求我们的程序员为那些经常使用比特币的用户们,加强多签协议的技术支持,

106022164-278	如果技术过关,奖金不是问题."

106022164-279	当用户面临着众多无法信任的市场选择时,

106022164-280	多签协议的作用远远超出想象.

106022164-281	它是反抗中央管控系统的强有力武器,

106022164-282	也为消费者权益提供了另一层保障.

106022164-283	暗黑市场总能在不断的挑战中重获新生.

106022164-284	比特币的匿名程度其实并不像大家所想的那样.

106022164-285	由于技术本身的特性,每次交易过程都会被记录在公共的区块链上,以防记录的二次出现.

106022164-286	因此,如果将比特币直接从个人账户转入"丝路"钱包,

106022164-287	这一笔交易也会被区块链记录下来.

106022164-288	当然,我的隐私并没有泄露出去,

106022164-289	因为没人知道这个比特币账户是在我的名下.

106022164-290	然而,有研究者发现,

106022164-291	通过对交易记录数据的精密分析,

106022164-292	某些交易是可以去匿名化的.

106022164-293	如果使用现实世界的银行账户与比特币钱包有交易往来,这也是大多数人的选择,

106022164-294	这类比特币交易就不可能进行匿名的操作,

106022164-295	这与直接使用信用卡并无差异,

106022164-296	可以很轻易地查到付款人信息.

106022164-297	于是技术人员研发出了"混合"服务,

106022164-298	即把比特币发送到一个中央管控的钱包,

106022164-299	这个池子会将所有人的比特币进行打乱混合,并发送到最终的目的地.

106022164-300	目前我的"丝路"钱包有正确数量的比特币,

106022164-301	但是这些比特币并不是我之前传送的那些,

106022164-302	因此其他人也并不能通过比特币追踪到我的定位.

106022164-303	这种做法相当聪明,只凭一个小小的微型洗钱系统就可以做到.

106022164-304	不过它同样面临着中央管控系统的通病:

106022164-305	你仍然需要将你的钱托付于值得信赖的个体.

106022164-306	此外,混合服务要收取小额的使用费,

106022164-307	因此其他技术人员也在致力于开发出免费且开放式的重组服务.

106022164-308	"混币"

106022164-309	(ƙƿƹƾƠƿƹƾ)的运作原理也十分相似,

106022164-310	不过并没有采用中央管控的机制,而是让匿名用户把货款放在一个临时地址,

106022164-311	只有三方都确认交易之后才将交易混合并发送到指定目的地.

106022164-312	技术和服务仍在不断地进步,

106022164-313	社群内的许多用户还在寻找更优化的方案.

106022164-314	当我开始写作本章时,

106022164-315	我试图去理解社群中的人们,

106022164-316	如何在几乎不可能的情况下打造出众人所深信不疑的平台市场,

106022164-317	然而最终的结果却恰恰相反.

106022164-318	第三方支付系统,多签协议以及"混币"

106022164-319	都在致力于建立一个无须相互信任的市场,

106022164-320	因为一切都由强有力的加密系统及不受监管的去中心化系统来提供保障.

106022164-321	他们所追求的目标,反而是建立一个毫无信任的市场.

106022164-322	这些市场的未来并不是像"丝路二点零"一样的中央网站,

106022164-323	而是一个个去中心化的网站,

106022164-324	产品清单,发送消息,支付订单和评价反馈都是独立运作,

106022164-325	无须受到任何中央机构的管控,也不必遭受审查制度和闭站威胁的牵制.

106022164-326	当然,法律监管部门是不会对此坐视不管的.

106022164-327	毋庸置疑,他们极有可能强迫网站关门,

106022164-328	然而更有可能的做法是,打击用户对市场的信心.

106022164-329	另外,传统毒贩也不会眼睁睁地看着自己的饭碗被一点点地夺走而坐视不管.

106022164-330	也许,

106022164-331	他们会将生意搬到网络上:

106022164-332	根据"卫报"二零一四年对英国毒品的调查显示,

106022164-333	四十五％的毒贩表示进货渠道来源于网络.

106022164-334	然而互联网中不乏聪明机智的个人,致力于毒品市场的建立,维护和优化,

106022164-335	因此这对于他们来说,

106022164-336	意义并不在于毒品本身,而是在数位自由之争的前线中捍卫个人的尊严.

106022164-337	终于到了最后一步:将准确数目的比特币转入卖家账户,

106022164-338	点击"付款",

106022164-339	紧接着就跳转到另一个新页面,

106022164-340	显示一行消息:

106022164-341	"您的交易已完成!"

106022164-342	隐密手段

106022164-343	然而还有最后一项才能过关:

106022164-344	确实收到订购的商品.

106022164-345	即便是再高超的支付系统和混合服务,要想收到商品,我仍需提供一个真实世界的收货地址才行.

106022164-346	有的人会选择提供"卸货地址"(ƴǅƿǂ ƱƴƴǅƵǆǆ),

106022164-347	即一间邮箱仍可收件的废弃房屋.

106022164-348	不过大多数人,包括我都会选择直接送到家门口,

106022164-349	选择相信"隐密手段"的力量.

106022164-350	通常买家会依据卖家的发货速度,便捷程度及产品包装的精密程度进行评价.

106022164-351	尽管商品评价中没有买家提及卖家的隐密手段,以防引起有关部门的注意,

106022164-352	不过我从一家论坛中了解到,这位卖家的做法广受好评,事实也确实如此.

106022164-353	就在订单送出的五天后,一天清晨,我在家门口收到了一个白色信封,大小跟明信片差不多,不过要沉一些,

106022164-354	外部包装的是泡沫纸.

106022164-355	之前我曾用ƦƝƦ密钥登络过的网站用户名和地址信息,

106022164-356	印在一张小贴纸上面.

106022164-357	这个信封从视觉和触觉上看,都像极了我之前收过的任何一个普通包裹.

106022164-358	信封里面的商品被仔细地密封好,克数也没错,

106022164-359	而且经由我一位专家朋友的分析,质量也是十分上等的.

106022164-361	在关闭账号之前,我必须要做的最后一件事,就是留下简短的评价:

106022164-362	产品收到,与卖家描述一致.

106022164-363	五分之四.

106022164-364	市场压力

106022164-365	在"丝路"市场购买毒品的体验十分愉悦.

106022164-366	不仅产品的数量让人眼花缭乱,还有数不清的商品优惠活动,

106022164-367	包邮服务以及额外赠品.卖家的回复也很热情,

106022164-368	且根据我的调查,产品性价比(据说)极高.

106022164-369	最重要的是,在这里,顾客就是上帝.

106022164-370	一直以来,毒品市场总是被地方巨头所垄断.

106022164-371	暗网市场引入了一个全新的动态运营模式,

106022164-372	也就是战后著名的经济学家艾伯特·赫希曼所提出的"退出"和"呼吁"的经济理论,

106022164-373	这两种方法有助于组织内部相互协作,达成目标:

106022164-374	对产品和服务不满的买家可以通过评价体制表达自己的呼声,

106022164-375	并且可以与其他八百位卖家中的任何一位进行交易,

106022164-376	强迫服务不好的卖家退出市场.

106022164-377	这也就意味着,卖家之间必须相互竞争来赢取消费者,

106022164-378	且受制于消费者的评价制度.

106022164-379	通过明智的支付机制,评价反馈体系以及卖家间的激烈竞争,

106022164-380	市场的话语权便从卖家那里重新回到消费者的手中.

106022164-381	在"丝路二点零"论坛的最后几次发言中,

106022164-382	二零一三年十一月,

106022164-383	精明干练的管理员利伯塔斯的发言清楚地证实了谁才是市场的主宰者:

106022164-384	大家好,

106022164-385	让各位忍受回复缓慢的客服,我深感抱歉.

106022164-386	我们正在努力整顿,

106022164-387	保证以后绝不漏回信息,

106022164-388	再次为延迟回复带来的不便表示歉意.

106022164-389	利伯塔斯

106022164-390	暗黑市场中的"退出"和"呼吁"机制,几乎完全按照经济学家的预测在运作:

106022164-391	为消费者打造更好的交易平台.

106022164-392	在本章前文列出的几项数据中,最令我吃惊的不是毒品的种类和数量,而是满意度水平.

106022164-393	在十二万条评价中,

106022164-394	有超过九十五％的买家都给出了五星好评;

106022164-395	只有二％的人给出了一星.

106022164-396	尼古拉斯·克里斯廷教授于二零一二年分析该网站的评价时,也得出了几乎相同的结论.

106022164-397	一旦以消费者为主导的市场解封,将会带来一系列的改变:

106022164-398	"丝路二点零",

106022164-399	潘多拉市场

106022164-400	已在安全性能,手续费率及用户体验等方面展开竞争.

106022164-401	二零一四年四月,专为毒品市场研发的搜索引擎

106022164-402	ƝǅƱƽǆ问世,

106022164-403	该搜索引擎会依据毒品类别辅助检索出规模最大的市场,方便用户查询.

106022164-404	最近,ƝǅƱƽǆ增加了趋势搜索功能,

106022164-405	卖家甚至可以为网站及产品购买搜索词条的排名.

106022164-406	据"暗网中的毒品"作者詹姆斯·马丁介绍,

106022164-407	部分卖家甚至开始打出"营销牌",

106022164-408	称自家的可卡因来自"公平贸易",

106022164-409	是"有机产品"

106022164-410	或者标榜该产品来自无战争冲突的国家或地区.

106022164-411	一位毒贩写道:

106022164-412	"我们是一群自由主义派的可卡因贩卖者,

106022164-413	不从垄断巨头进货,

106022164-414	也不向警方收购缴获的可卡因二次售卖.

106022164-415	我们帮助秘鲁和玻利维亚的农民谋求生计,

106022164-416	协助解决了巴西,巴拉圭及阿根廷的化学系学生的就业问题,

106022164-417	我们只做公平交易!"

106022164-419	"丝路"关站的六个月间,市场上的竞争对手达到空前数量.

106022164-420	我从二零一三年八月动笔写作本章,

106022164-421	截止二零一四年四月,

106022164-422	市场上的产品种类已是当时的三倍.

106022164-423	许多新兴市场在二零一三年底的混沌之中诞生,

106022164-424	性能更安全,界面更友好,

106022164-425	同时还配备多签协议,"混币"功能以及搜索引擎等多种技术支持.

106022164-426	当然,总有一天,某些独立的市场或是卖家躲不开被追查的命运.

106022164-427	但是每次落难之后,这只九头蛇都能够重获新生.

106022164-428	市场在摸爬滚打中不断地学习,

106022164-429	这些都使得消费者更有底气,

106022164-430	促使产品及网站的品质更上一层楼.

106022164-431	也许将来改变毒品产业的并不是"丝路二点零"或是ƪƿǅ隐匿服务.

106022164-432	目前消费者占据着主导地位,

106022164-433	预示着过去的市场模式将一去不再,

106022164-435	但这一切对这场毒品战争来说意味着什么,也尚不明朗.

106022164-436	二零一三年十月,国际毒品政策科学中心的一项调查总结了来自全球七个不同的毒品市场的资料,

106022164-437	数据显示毒品战争正在走向失败,

106022164-438	如今非法毒品的获取渠道变得越来越容易.

106022164-439	自尼克松总统在一九七一年宣布毒品战争时,

106022164-440	针对毒品供应量的管控就不甚明显,

106022164-441	自不必说毒品的需求量了.

106022164-442	暗网市场使得毒品交易更加便捷.

106022164-443	然而,这没什么值得庆祝的.

106022164-444	因为毒品的需求将会大幅上升,

106022164-445	不论是合法还是不合法的毒品,

106022164-446	都会导致灾难的降临.

106022164-447	毒品产业自上游的生产商到下游的贩卖者,这条供应链的每个环节中都有暴力及贪污贿赂的事件发生.

106022164-448	交易链越长,暴力和更多的黑暗面行为就越常发生,

106022164-449	毒贩的钱包也就越鼓,

106022164-450	毒品中就会掺入更多七七八八的成分.

106022164-451	虽说"丝路"并不能解决所有的问题,但却可以有效地减少供应链的环节.

106022164-452	在英国,目前约有七千个有组织的犯罪团伙,

106022164-453	其中有一半的组织都涉及毒品贸易.

106022164-455	尽管街头贸易的成本数据难以获得,

106022164-456	但联合国的一项调查显示,

106022164-457	英国与威尔士地区与毒品相关的犯罪

106022164-458	(诈骗,盗窃,抢劫)成本约等于国民生产总值的一点六％,

106022164-459	或者等同于约九十％与毒品滥用相关的经济和社会成本.

106022164-460	随着网络贸易渐渐取代街头贸易的形式,

106022164-461	这类数据也会减少.

106022164-462	以往的历史经验告诉我们,想买毒品的人,总会有办法搞到货源.

106022164-463	与街头贩售的方式相比,"丝路"的风险更低,且产品质量更有保障.

106022164-464	网络毒品市场正在将毒品这项肮脏的产业,改造成一个介于更具权力的买家以及积极配合的卖家之间的单纯交易过程.

106022164-465	匿名制,比特币或加密系统并不能确保暗网市场的前程似锦,

106022164-466	对"丝路"而言,成功的真正秘诀在于良好的消费者服务.

106562028-01	第六章　

106562028-02	灯光,

106562028-03	网络摄像头,

106562028-04	行动起来

106562028-05	我在街对面认出了韦克斯,

106562028-06	她看上去跟我在电脑屏幕上看到的她并无差异.

106562028-07	二十多岁,小巧玲珑,

106562028-08	体态精瘦又迷人,还戴着两个鼻环.

106562028-09	她急忙忙地来到我们约好的咖啡厅,还因为迟到而一直道歉.

106562028-10	她刚刚结束一场"直播",

106562028-11	这份工作一个小时的薪酬甚至比很多人每周的薪水还要多.

106562028-12	韦克斯是英国最受欢迎的女主播之一.

106562028-13	她的工作就是待在舒适的卧室里,

106562028-14	每周发发照片,

106562028-15	聊天互动,在镜头前给上千人跳脱衣舞,表演自慰,等等.

106562028-16	每隔一两天韦克斯都会在ƙƸƱǇǈǅƲƱǇƵ网站里进行表演,

106562028-17	每次都会吸引来自世界各地的近千名观众收看.

106562028-18	不过,她的工作远不止在镜头前脱脱衣服而已.

106562028-19	韦克斯的一天通常是这样进行的:

106562028-20	首先要花好几个小时查看社交账号,更新状态;

106562028-21	与粉丝交流互动,回复邮件,

106562028-22	发布最新的直播消息;

106562028-23	偶尔会给经常看直播的粉丝以及打赏的"大金主"们写写感谢信;

106562028-24	为粉丝后援会的成员拍照,录视频等.

106562028-25	这是一份全职工作,

106562028-26	但是韦克斯认为自己只是个业余选手,

106562028-27	只是一个喜欢在网络上表现自我的"普通"女生,

106562028-28	而且她认为自己十分幸运,能够凭借这份工作谋生.

106562028-29	有这种想法的并不只有韦克斯一人.

106562028-31	网络使得搜寻色情内容变得十分简单,也降低了色情制品的制作及贩售成本.

106562028-32	借助高质量的网络摄像头及宽带,

106562028-33	任何人都能坐在家中自制色情影片.

106562028-34	许多人会将自制的低成本图片和视频——从性感的自拍照到真枪实战的成人视频——上传至网络.

106562028-35	现如今主宰成人影片市场的不再是专业艳星,而是一个个普通大众.

106562028-36	目前观看量最高的四家成人视频网站都是免费的,

106562028-37	且都充斥着自制的色情影像.

106562028-38	十五家访问量最高的成人网站里的大约二百万个视频是由非专业人士制作并发布的.

106562028-39	尽管没法得到确切的数据,

106562028-40	但是传统的色情产业(虽然还没消失)但因此遭受了巨大的冲击.

106562028-41	据自由言论联盟估计,

106562028-42	二零零七年至二零一一年间,

106562028-43	由于互联网上免费色情内容的数量大增,全球(包括美国)的色情产业收入减少了约五十％.

106562028-44	一九九三年十一月,

106562028-45	人类有史以来第一次实现了摄像头与互联网的连接.

106562028-46	在此之前,人们一直利用计算机的联网功能来获取色情资料.

106562028-47	二十世纪八零年代,ƗƗƩ的用户们会在网上四处闲逛,

106562028-48	搜寻可以调戏勾搭的对象,

106562028-49	幸运的话,还能促成一段"网恋".

106562028-50	二十世纪九零年代,可以阅读并发布色情小说作品的ƫǆƵƾƵǇ群组风靡一时;

106562028-51	一九九一年五月,史上首个ƫǆƵƾƵǇ色情小说群组成立,

106562028-52	在此分类之下,陆陆续续又有一系列各类取向的子群组横空出世,

106562028-53	甚至有一个以"星际迷航"为色情作品的创作主题.

106562028-54	虽然网络中的成人影像数量总是有夸大的嫌疑,

106562028-55	且总会引起人们的道德不适感,

106562028-56	但无法否认,互联网确实流传着数量庞大的色情影像资料.

106562028-57	一九九三年,一家色情ƗƗƩ网站凭借向数千名用户售卖色情图片和视频,大赚三百二十万美元.

106562028-58	截至一九九七年,网络中的色情网站数量就有二万八千至七万二千多家.

106562028-59	据目前统计,色情内容在所有网站中约占四％至三十％不等.

106562028-60	一九九六年四月,一位美国大学生珍妮弗·林利注册成立了一家叫作

106562028-61	"珍妮视频"的网站,

106562028-62	记录并拍摄下自己做的各项活动,

106562028-63	从刷牙到脱衣舞都有,

106562028-64	并放在平台上进行直播.

106562028-65	珍妮弗是史上第一位"女主播",

106562028-66	按她的话说,她的动机是为观众提供"观察虚拟人类动物园"的平台.

106562028-67	在网站巅峰时期,有近四百万人同时在线,观看这一令人震惊的直播生活模式.

106562028-68	林利迅速从她的高人气中嗅到了商机.

106562028-69	一九九八年,她将网站设定为两种不同的模式:

106562028-70	免费观看和付费观看.

106562028-71	付费模式即只需交纳十五美元的年费就可浏览每二分钟更新的照片

106562028-72	(免费模式,则需等待二十分钟才能浏览到更新的照片).

106562028-73	数月内,有成百上千位表演者在全网纷纷建立起了自己的个人直播网站.

106562028-74	他们之中大多数都是业余人士,且网站模式多为付费观看.

106562028-75	这些个人网站与"珍妮视频"的运作模式并无大异,

106562028-76	其中有一个叫作"偷窥宿舍"

106562028-77	(ƬƿǌƵǈǅ ƚƿǅƽ)的直播网站,曾利用三十一个摄像头二十四小时不间断直播五个大学生的日常生活.

106562028-78	二零零一年,匈牙利企业家哲尔吉·高詹创办了一档情色互联网真人秀

106562028-79	"茉莉直播",

106562028-80	此后这家网站迅速成长为一家付费表演平台,

106562028-81	为业余人士和有志于此的模特们提供表演机会.

106562028-82	尽管仍处于十分小众的地位,

106562028-83	直播俨然成为一个利润巨大的产业.

106562028-84	紧接着,新一代的直播网站出现了:二零零四年成立的ƣǌƜǅƵƵƙƱƽǆ以及二零一一年成立的

106562028-85	ƙƸƱǇǈǅƲƱǇƵ都是提供免费,专业制作并进行定期维护服务的直播网站,

106562028-86	直播的人气指数开始暴涨.

106562028-87	从单次访问人数来看,

106562028-88	ƙƸƱǇǈǅƲƱǇƵ是规模最大的直播网站之一,

106562028-89	人气仅次于"茉莉直播".

106562028-90	在任一时间点,该平台上都有约六百名来自世界各地的主播在线,他们坐在家中,只需打开摄像头,即可为登录进入ƙƸƱǇǈǅƲƱǇƵ房间的观众进行直播表演.

106562028-91	ƙƸƱǇǈǅƲƱǇƵ不收取用户的注册费以及订阅费,

106562028-92	表演者仅仅通过观众"打赏"的小费来挣钱.

106562028-93	主播们通常一天表演一到两次,

106562028-94	每次时长约一小时.

106562028-95	表演期间,观众可以用网站的代币进行打赏,

106562028-96	而这种代币则需要在网站购买.

106562028-97	ƙƸƱǇǈǅƲƱǇƵ的首席技术官雪利,

106562028-98	年龄在三十岁上下,

106562028-99	网站几乎都是他一人进行打理的,

106562028-100	他向我解释了下平台的运作模式:

106562028-101	主播们授权ƙƸƱǇǈǅƲƱǇƵ的平台进行直播,

106562028-102	平台抽取主播六十％的打赏收入,

106562028-103	作为提供技术支持,网站维护,支付程序,

106562028-104	以及按雪利的话来讲,"平台的知名度"等资源的各项成本费用.

106562028-105	的确,ƙƸƱǇǈǅƲƱǇƵ是一家很有实力的平台,

106562028-106	每天的访问量约有三百万人次,

106562028-107	潜在的打赏用户也不在少数.

106562028-108	ƙƸƱǇǈǅƲƱǇƵ平台的表演者们,并非人人都具备成人影星的外在条件.

106562028-109	在二零一三年一项针对美国七千位专业成人女星的调查中显示,女演员们的平均身高为一百六十五厘米,

106562028-110	三围数字分别是三十四-二十四-三十四.

106562028-111	当然,有些女主播们的外在形象确实非常出挑,

106562028-112	不过也有一些人并不满足这些条件.

106562028-113	目前,在世界范围内约有五万名女主播,每日往来于自家卧室及工作室之间准备表演,

106562028-114	她们大多来自北美以及欧洲地区.

106562028-115	尽管表演者中也不乏男性,跨性别者及情侣的身影,

106562028-116	不过这个行业的表演者还是以年龄二十到三十岁的女主播为主.

106562028-117	确切的数据资料难以知晓,

106562028-118	有些人会以此为全职工作,

106562028-119	例如韦克斯;

106562028-120	也有部分人只想尝个新鲜,

106562028-121	或者是借此机会赚点外快.

106562028-122	在ƙƸƱǇǈǅƲƱǇƵ能够很轻易地找到这样的内容:

106562028-123	一对中年夫妇兴致盎然地表演活塞运动;

106562028-124	赤身裸体的男性弹吉他;

106562028-125	百无聊赖的女性静静地坐着;

106562028-126	跨性别者的纵欲狂欢;

106562028-127	镜头前火力全开的男性生殖器;

106562028-128	此外还有主播们花样百出的前戏和后戏表演.

106562028-129	人气最高的主播们在开演时观看人数轻松破千,

106562028-130	也有的直播室只有十几个观众.

106562028-131	总而言之,所有人都能在此找到乐趣.

106562028-132	据"纽约时报"报道,直播已成为一个规模庞大的全球性产业,

106562028-133	产值每年高达十亿美元,

106562028-134	约占整个色情产业的二十％.

106562028-135	大型的直播社群也逐渐形成,

106562028-136	目前已有多家线上论坛及应援群组,

106562028-137	主播可以在此与粉丝会面,交流和互动.

106562028-138	直播是一个充满生机和活力的崭新世界,

106562028-139	而成员不过是一群拥有摄像头的普通人,就像韦克斯一样.

106562028-140	但究竟是什么让这些普通人变得如此受欢迎呢?

106562028-141	韦克斯从未想过自己会成为一名女主播.

106562028-142	当她还在念大学的时候,为了赚取外快,曾签约了一家制作软色情制品的公司"神的女孩",

106562028-143	并拍摄了几组全裸照片.

106562028-144	一天,她偶然听到公司里的人在议论直播是个赚钱的好方法.

106562028-145	在做过一番调查之后,韦克斯立即购买了专业的摄像头,

106562028-146	与当地的一家直播公司签约,

106562028-147	开始在ƩƻǌǂƵ上进行个人表演.她回忆道:

106562028-148	"第一次表演的时候我紧张坏了,

106562028-149	话说太多了,

106562028-150	当时直播间有二十个人左右,

106562028-151	不过那种感觉超棒!

106562028-152	当时大约赚了三十英镑吧."

106562028-153	此后,韦克斯便加入了ƙƸƱǇǈǅƲƱǇƵ,

106562028-154	没多久她的收入就足以与一份全职工作的薪酬相匹敌.

106562028-155	我问韦克斯,

106562028-156	在她眼里自己受欢迎的理由是什么,

